Gheff
Earned	Spent	Total	Last Raid	Last 30	Last 60
2,188	2,128	60	2025-10-28	0/37 (0%)	0/65 (0%)

Current DKP - NAGD Pool commenced 1 Jan 2018 Pool
Earned	Spent	Total	Last Raid	Last 30	Last 60
2,178	2,118	60	2025-10-28	0/37 (0%)	0/65 (0%)

Item History
Item	Spent	Date	Raid Name	Event
[Cloak of Retribution] 	21	2025-08-07	Time Raid - Spices!!	1 Hour Single/Double Boxing
[Earthen Bracer of Fortitude] 	49	2025-08-07	Time Raid - Spices!!	1 Hour Single/Double Boxing
[Timeless Chain Tunic Pattern] 	39	2025-06-12	Time Day 2 6-12-25	1 Hour Single/Double Boxing
[Belt of Tidal Energy] 	11	2025-03-20	Time Day 2 3-20-25	1 Hour Single/Double Boxing
[Boots of Despair] 	30	2024-12-17	Time Day 1	1 Hour Single/Double Boxing
[Whorl of Unnatural Forces] 	33	2024-09-19	Time Loot 4 All	1 Hour Single/Double Boxing
[Hammer of the Timeweaver] 	26	2024-08-08	Mohr Time B	1 Hour Single/Double Boxing
[Bracer of Precision] 	18	2024-08-06	Late for TIME	1 Hour Single/Double Boxing
[Timestone Adorned Ring] 	22	2024-07-11	TimeB Strike	1 Hour Single/Double Boxing
[Collar of Catastrophe] 	7	2024-07-09	Post Walex Time	1 Hour Single/Double Boxing
[Prismatic Ring of Resistance] 	56	2024-06-27	Bye Walex Time Raid	1 Hour Single/Double Boxing
[Protective Sleeves] 	5	2024-06-25	Time Raid	1 Hour Single/Double Boxing
[Girdle of Intense Durability] 	12	2024-06-11	Time Raid	1 Hour Single/Double Boxing
[Timeless Chain Tunic Pattern] 	28	2024-05-30	TIME to sink our toofs into it!	1 Hour Single/Double Boxing
[Girdle of Focus] 	0	2024-05-23	VT GearFest	On-Time attendance
[Drape of the Unending] 	0	2024-05-14	Dizzy Loot Time	1 Hour Single/Double Boxing
[Coif of Flowing Time] 	10	2024-05-14	Dizzy Loot Time	1 Hour Single/Double Boxing
[Leggings of Furious Might] 	20	2024-04-16	Time to Loot!	1 Hour Single/Double Boxing
[Greatblade of Chaos] 	13	2024-04-16	Time to Loot!	1 Hour Single/Double Boxing
[Cloak of Retribution] 	11	2024-04-04	YAMTRA - Yet Another Moo TIme Raid Again	1 Hour Single/Double Boxing
[Winged Storm Boots] 	16	2024-03-19	The March of Times	1 Hour Single/Double Boxing
[Earring of Temporal Solstice] 	16	2024-03-05	Time .. WHA.. Again??	1 Hour Single/Double Boxing
[Ifir, Dagger of Fire] 	4	2024-02-27	Fire Raid - Soothing Balm	1 Hour Single/Double Boxing
[Glowing Steel Shim] 	2	2024-02-21	Baby Flags - MB-TZ-RZ-Agnarr	On-Time attendance
[Protective Dust Drape] 	2	2024-02-21	Baby Flags - MB-TZ-RZ-Agnarr	On-Time attendance
[Girdle of Stability] 	10	2024-02-08	Smash Quarm	1 Hour Single/Double Boxing
[bracelet of darkness] 	3	2024-01-31	VT-Crush-Always-Here	1 Hour Single/Double Boxing
[Spiked Chain Leggings] 	5	2024-01-31	VT-Crush-Always-Here	1 Hour Single/Double Boxing
[Hoop of the Enlightened] 	4	2024-01-23	Time_Lewts	On-Time attendance
[Algae Covered Stiletto] 	2	2024-01-16	Wet and Wild with BONUS MAYONG	1 Hour Single/Double Boxing
[Bow of the Tempest] 	14	2024-01-09	Time Destroyers	1 Hour Single/Double Boxing
[Temporal Chainmail Sleeves] 	8	2023-12-26	XmasTime	1 Hour Single/Double Boxing
[Timespinner, Blade of the Hunter] 	6	2023-12-26	XmasTime	1 Hour Single/Double Boxing
[Mask of Strategic Insight] 	9	2023-12-12	PoTime	1 Hour Single/Double Boxing
[Shroud of Survival] 	16	2023-12-06	Time Day 2 LootFest	1 Hour Single/Double Boxing
[Spool of Woven Time] 	33	2023-12-06	Time Day 2 LootFest	1 Hour Single/Double Boxing
[shadow footpads] 	3	2023-11-30	VT Choo Choo	On-Time attendance
[Thorny Chain Helm] 	2	2023-11-26	More_VT_Things	1 Hour Single/Double Boxing
[the sword of ssraeshza] 	2	2023-11-20	EmpKillers	1 Hour Single/Double Boxing
[Armguards of the Brute] 	16	2023-10-24	Time Raid	1 Hour Single/Double Boxing
[Helm of Flowing Time] 	39	2023-10-10	Time for Time	1 Hour Single/Double Boxing
[Wristband of Echoed Thoughts] 	29	2023-09-27	Dad Joke TIME	1 Hour Single/Double Boxing
[Band of Primordial Energy] 	31	2023-09-27	Dad Joke TIME	1 Hour Single/Double Boxing
[Sanguine Gloves] 	3	2023-09-21	VT Clear yet again	1 Hour Single/Double Boxing
[Lunar Fungus Covered Tunic] 	3	2023-09-21	VT Clear yet again	1 Hour Single/Double Boxing
[Ring of Immobilization] 	3	2023-09-21	VT Clear yet again	1 Hour Single/Double Boxing
[Sharkbone Plated Shoulderpads] 	3	2023-06-12	All About that PoWater Face	On-Time attendance
[Visor of the Berserker] 	47	2023-06-07	Time Night 2	1 Hour Single/Double Boxing
[Necklace of Reflected Flames] 	3	2023-05-11	Fennin+Minis	1 Hour Single/Double Boxing
[Simple Ring of Purity] 	15	2023-05-01	PoAir Round2	1 Hour Single/Double Boxing
[Earring of Eradication] 	9	2023-04-20	VTClear!	1 Hour Single/Double Boxing
[Shroud of Vigor] 	3	2023-04-13	VT Clarence	1 Hour Single/Double Boxing
[Cerulean Sleeves] 	6	2023-04-13	VT Clarence	1 Hour Single/Double Boxing
[Tiny Bone Bracelet] 	9	2023-04-13	VT Clarence	1 Hour Single/Double Boxing
[Girdle of Focus] 	2	2023-04-13	VT Clarence	On-Time attendance
[Corrupted Skull Earring] 	2	2023-04-10	Earth Minis + Curse/Emp	1 Hour Single/Double Boxing
[Double Edged Stormblade] 	4	2023-04-06	RZTW + Agnarr	1 Hour Single/Double Boxing
[Cloak of Dark Shadows] 	3	2023-03-31	SSRA Night!	On-Time attendance
[Timeless Silk Robe Pattern] 	19	2023-03-29	PoTime (If Available)	1 Hour Single/Double Boxing
[Serrated Dart of Energy] 	20	2023-03-29	PoTime (If Available)	1 Hour Single/Double Boxing
[Innovators Hammer] 	2	2023-03-22	Xana (nonDKP)/MB/TZ/VZ	On-Time attendance
[Timeless Breastplate Mold] 	47	2023-03-15	PoTime Night 2	1 Hour Single/Double Boxing
[Time's Antithesis] 	18	2023-03-14	PoTime Lewts!	1 Hour Single/Double Boxing
[Earring of Eternal Flame] 	12	2023-02-27	Fenin+ Fire Minis FUN	1 Hour Single/Double Boxing
[Gauntlets of the Burning Prince] 	3	2023-02-22	SolRo	1 Hour Single/Double Boxing
[Orb of Infinite Terror] 	6	2023-02-09	2/9/23 BERT & SARYN FUN	1 Hour Single/Double Boxing
[Cloak of the Falling Skies] 	8	2023-01-31	1/31/23 P1/P2/P3/P4	1 Hour Single/Double Boxing
[Tiny Cap of Sight] 	4	2023-01-25	VT FUN	1 Hour Single/Double Boxing
[Lightbringers Earring] 	4	2023-01-25	VT FUN	1 Hour Single/Double Boxing
[Pauldrons of Devastation] 	48	2023-01-19	Plane of Time Day 2	1 Hour Single/Double Boxing
[Darkened Claw Amulet] 	2	2023-01-18	Vex Thal Fun	1 Hour Single/Double Boxing
[Hammer of Hours] 	22	2023-01-17	Plane of Time Day 1	1 Hour Single/Double Boxing
[Shroud of Unholiness] 	2	2023-01-16	MM/cursed/emp	1 Hour Single/Double Boxing
[Cudgel of Venomous Hatred] 	5	2023-01-03	Plane of Time Day 1	1 Hour Single/Double Boxing
[Mithril Battle Hammer] 	2	2022-12-29	TOSR	1 Hour Single/Double Boxing
[Hooded Sanguine Mantle] 	2	2022-12-29	TOSR	1 Hour Single/Double Boxing
[Gloves of the Unseen] 	7	2022-12-06	PoT Day 1	1 Hour Single/Double Boxing
[Tactician's Shield] 	12	2022-12-06	PoT Day 1	1 Hour Single/Double Boxing
[Wand of Temporal Power] 	17	2022-12-06	PoT Day 1	1 Hour Single/Double Boxing
[Elemental Silk Turban Pattern] 	4	2022-12-02	Fenin + Minis	1 Hour Single/Double Boxing
[Elemental Chain Sleeve Pattern] 	6	2022-11-28	Fire = Bad	1 Hour Single/Double Boxing
[phoenix claw talisman] 	2	2022-11-24	Fennin + Minis	1 Hour Single/Double Boxing
[Cloak of the Falling Skies] 	5	2022-11-22	Time P1-P4	1 Hour Single/Double Boxing
[Shield of Strife] 	36	2022-11-11	Songtime	1 Hour Single/Double Boxing
[Coif of Flowing Time] 	19	2022-11-10	time of moo	1 Hour Single/Double Boxing
[Winged Storm Boots] 	9	2022-11-08	Time P1-P4	1 Hour Single/Double Boxing
[Cord of Potential] 	18	2022-10-27	Time P4/5	1 Hour Single/Double Boxing
[Necklace of Celestial Energy] 	11	2022-10-18	Time P1-4	1 Hour Single/Double Boxing
[Veil of Lost Hopes] 	2	2022-10-11	Time P1-P3+	1 Hour Single/Double Boxing
[Glowing Chains] 	11	2022-10-04	Time P1-4	1 Hour Single/Double Boxing
[Necklace of Celestial Energy] 	7	2022-10-04	Time P1-4	1 Hour Single/Double Boxing
[Elemental Silk Pant Pattern] 	12	2022-10-04	Time P1-4	1 Hour Single/Double Boxing
[Elemental Silk Bracelet Pattern] 	7	2022-09-28	Water minis	On-Time attendance
[elemental silk boot pattern] 	2	2022-09-28	Water minis	On-Time attendance
[Talisman of Tainted Energy] 	17	2022-08-26	ABCDKP	1 Hour Single/Double Boxing
[Pulsing Emerald Hoop] 	3	2022-08-26	ABCDKP	On-Time attendance
[Earring of Temporal Solstice] 	18	2022-08-12	All in Friday	1 Hour Single/Double Boxing
[Slippers of Dark Whispers] 	6	2022-08-10	VT	1 Hour Single/Double Boxing
[Ring of Evasion] 	14	2022-08-05	Godswilldie	1 Hour Single/Double Boxing
[Elemental Boot Mold] 	29	2022-08-01	EarthB and Ssra	1 Hour Single/Double Boxing
[Acrylia Handled Broadsword] 	3	2022-08-01	EarthB and Ssra	1 Hour Single/Double Boxing
[Smooth Onyx Torque] 	3	2022-07-29	PoTime P1+P4+P5	1 Hour Single/Double Boxing
[Elemental Vambrace Mold] 	27	2022-07-20	POE B Warlords	1 Hour Single/Double Boxing
[Elemental Bracer Mold] 	18	2022-07-05	PoE A	1 Hour Single/Double Boxing
[Hoop of the Enlightened] 	12	2022-06-21	P4 DOWN!	1 Hour Single/Double Boxing
[Vanazir, Dreamer's Despair] 	36	2022-06-17	Time P1 + P4 x2 DKP	1 Hour Single/Double Boxing
[Elemental Gauntlet Mold] 	11	2022-06-16	Fire Minnies	1 Hour Single/Double Boxing
[Wristguard of Keen Vision] 	3	2022-06-09	Thursday Time	1 Hour Single/Double Boxing
[Cloak of Ferocity] 	8	2022-06-07	6/7/2022 TIME	1 Hour Single/Double Boxing
[Ring of Force] 	3	2022-05-26	Time P4	On-Time attendance
[Wristguard of Keen Vision] 	5	2022-05-26	Time P4	On-Time attendance
[Stein of Falling Tears] 	5	2022-05-23	VT one night only	1 Hour Single/Double Boxing
[Elemental Greaves Mold] 	44	2022-05-18	Xegony	1 Hour Single/Double Boxing
[Earring of Battle] 	9	2022-05-17	VT one day only	1 Hour Single/Double Boxing
[pendant of malosini] 	7	2022-05-17	VT one day only	1 Hour Single/Double Boxing
[Veil of Warmth] 	4	2022-05-03	MooTime	1 Hour Single/Double Boxing
[Yttrium Wrapped Leggings] 	6	2022-04-25	Water Minis With a Side Of Seru	1 Hour Single/Double Boxing
[Yttrium Wrapped Sleeves] 	8	2022-04-25	Water Minis With a Side Of Seru	1 Hour Single/Double Boxing
[Algae Covered Stiletto] 	9	2022-04-18	Davey Jones Locker	1 Hour Single/Double Boxing
[Gem Encrusted Axe] 	26	2022-04-18	Davey Jones Locker	1 Hour Single/Double Boxing
[Entwood Earring]	2	2022-04-11	EARTH RINGS, DAY 1	1 Hour Single/Double Boxing
[Sceptre of Destruction] 	7	2019-08-08	8 Aug - Kael + ST	1 Hour Single/Double Boxing
[Salindrite Dagger] 	2	2019-08-08	8 Aug - Kael + ST	1 Hour Single/Double Boxing
[Orb of satisfaction] 	4	2019-06-07	7June - Rhags, Vex Thal day2	1 Hour Single/Double Boxing
[Mask of Piety] 	25	2019-05-10	5/10/2019 VEX THAL Day 2	1 Hour Single/Double Boxing
[bracer of the silent star] 	9	2019-05-07	5/7/2019 VEX THAL (TVX x2)	1 Hour Single/Double Boxing
[Mask of Tinkering] 	3	2019-04-29	29 April - Sleeper Tomb	On-Time attendance
[Umbracite Bracer] 	8	2019-04-15	15 April - TVX	1 Hour Single/Double Boxing
[Tan Silken Bridle] 	5	2019-04-04	4th April - Rhags, Seru	1 Hour Single/Double Boxing
[Helmet of Shadow] 	10	2019-04-03	3rd April - Vex Thal	On-Time attendance
[Rune of Judgement] 	12	2019-04-03	3rd April - Vex Thal	On-Time attendance
[Ssraeshzaen Blood Cord ] 	4	2019-03-31	3/31/2019 EMPEROR & SHEI	1 Hour Single/Double Boxing
[Ancient Burrower Spine] 	2	2019-03-29	3/29/2019 THO + BURROWER PARASITE	1 Hour Single/Double Boxing
[Umbracite Bracer] 	15	2019-03-08	3/8/2019 VEX THAL	1 Hour Single/Double Boxing
[ring of rage] 	9	2019-03-05	4March - Emp Ssra and TVX	1 Hour Single/Double Boxing
[Flowing Gossamer Cloak] 	4	2019-03-02	2 March - Seru, Shei	1 Hour Single/Double Boxing
[Tan Silken Bridle] 	4	2019-03-02	2 March - Seru, Shei	On-Time attendance
[Iron Scroll of War] 	2	2019-02-27	27 Feb - Kael	On-Time attendance
[The Horn of Hsagra] 	2	2019-02-21	21 Feb 2019 - Kael	On-Time attendance
[Umbracite Swarm Orb] 	7	2019-02-16	2/16/2019 vex thal	1 Hour Single/Double Boxing
[Cloudy Steel Mask] 	10	2019-02-16	2/16/2019 vex thal	1 Hour Single/Double Boxing
[wand of everlasting water] 	4	2019-02-16	2/16/2019 vex thal	1 Hour Single/Double Boxing
[Cap of the Silent Star] 	2	2019-02-14	2/14/2019 VEX THAL	1 Hour Single/Double Boxing
[Hammer of the Ironfrost] 	3	2019-02-07	7 Feb - Rhags/AL/XTC/HP	1 Hour Single/Double Boxing
[Shield of Mental Fortitude] 	25	2019-01-27	Jan 26 - Burrower, Emp, Shei	1 Hour Single/Double Boxing
[Steel Skin Armplates] 	11	2019-01-22	1/22/19 SLEEPERS TOMB/TVX'S	1 Hour Single/Double Boxing
[pendant of malosini] 	7	2019-01-09	9Jan - Vex Thal	1 Hour Single/Double Boxing
[Cudgel of Cowardly Death] 	2	2018-12-27	27dec - Rhags, AL, XTC, HP	1 Hour Single/Double Boxing
[Spiked Shoulderpads] 	21	2018-12-22	12/22/18 VEX THAL	1 Hour Single/Double Boxing
[Shield of Energy] 	18	2018-12-22	12/22/18 VEX THAL	1 Hour Single/Double Boxing
[shaded amice] 	7	2018-12-20	12/20/18 CURSED & TVX'S	1 Hour Single/Double Boxing
[cloak of destruction] 	16	2018-12-19	12/19/18 Vex Thal	1 Hour Single/Double Boxing
[Gloves of Dark Summoning] 	8	2018-12-14	14Dec - Vex Thal day2	1 Hour Single/Double Boxing
[Orb of the Sky] 	3	2018-12-12	12Dec - Vex Thal day1	1 Hour Single/Double Boxing
[Dark Mace of Thought] 	11	2018-12-12	12Dec - Vex Thal day1	1 Hour Single/Double Boxing
[Cord of Midnight] 	6	2018-12-03	VEX THAL 12/3/18	1 Hour Single/Double Boxing
[Scale Mesh Vambraces] 	2	2018-11-27	27Nov - Rhags + AL + VT	On-Time attendance
[Red Resistance Stone]	2	2018-11-15	15Nov 2pm Euro - ST Rhags	1 Hour Single/Double Boxing
[Veil of Hidden Thought] 	4	2018-11-07	Thought Horror Overfiend 11/7/18	1 Hour Single/Double Boxing
[Swiftblade of Zek] 	2	2018-11-02	11/2/18 AVATAR OF WAR	1 Hour Single/Double Boxing
[Dragons Tear Earring] 	2	2018-11-01	Euro KT + Yeli	1 Hour Single/Double Boxing
[Breastplate of the Void] 	2	2018-10-29	CURSED & HIGH PRIEST	1 Hour Single/Double Boxing
[Soul Defiler] 	2	2018-10-19	19 Oct - Trak UDB and Yelinak	1 Hour Single/Double Boxing
[Silver Lined Sleeves] 	2	2018-10-16	RHAG AL BURROW DOZE	1 Hour Single/Double Boxing
[Black Tear] 	8	2018-10-16	RHAG AL BURROW DOZE	1 Hour Single/Double Boxing
[Pristine Jade Idol] 	6	2018-10-12	12 Oct - Rhags, AL	1 Hour Single/Double Boxing
[Crown of Narandi] 	5	2018-10-09	9 Oct Burrower, Ring10	1 Hour Single/Double Boxing
[Yelinak's Head] 	17	2018-10-08	RHAGS/AL/ YELI	1 Hour Single/Double Boxing
[Faded Skull Medallion] 	19	2018-10-04	04Oct - Rhag1/2/AL + Dozekar	1 Hour Single/Double Boxing
[Righteousness] 	3	2018-08-31	Rhags	1 Hour Single/Double Boxing
[Shield of Auras] 	21	2018-08-27	Rhag - AL	1 Hour Single/Double Boxing
[Bile Stained Robes] 	11	2018-08-21	8/21/18 BURROWER	1 Hour Single/Double Boxing
[Wormhusk Harness] 	2	2018-08-21	8/21/18 BURROWER	1 Hour Single/Double Boxing
