Current DKP (Including Alts) - NAGD Pool commenced 1 Jan 2018 Pool This character is a main
Earned	Spent	Total	Last Raid	Last 30	Last 60
1,897	1,883	14	2026-02-19	2/37 (5%)	2/69 (3%)

Current DKP - NAGD Pool commenced 1 Jan 2018 Pool
Earned	Spent	Total	Last Raid	Last 30	Last 60
1,897	1,883	14	2026-02-19	2/37 (5%)	2/69 (3%)

Item History
Item	Spent	Date	Raid Name	Event
[Elemental Leather Wrist Pattern] 	6	2024-03-12	Dusty Drums	1 Hour Single/Double Boxing
[Timeless Breastplate Mold] 	38	2024-03-07	Yep! Time Day2!	1 Hour Single/Double Boxing
[Elemental Leather Pant Pattern] 	11	2024-03-05	Time .. WHA.. Again??	1 Hour Single/Double Boxing
[Exquisite Phoenix Feather Mantle] 	8	2024-02-29	PoAir Panty Raid	On-Time attendance
[Earring of Corporeal Essence] 	16	2024-02-20	Time Day 1	1 Hour Single/Double Boxing
[Winged Storm Boots] 	16	2024-02-20	Time Day 1	1 Hour Single/Double Boxing
[Shoes of Fleeting Fury] 	6	2024-02-20	Time Day 1	1 Hour Single/Double Boxing
[Elemental Silk Sleeve Pattern] 	5	2024-02-15	Fire Kills	On-Time attendance
[Fiery Crystal Guard] 	9	2024-02-10	Saturday Night Time	1 Hour Single/Double Boxing
[Cloak of Wishes] 	10	2024-02-06	TIME for Pets	1 Hour Single/Double Boxing
[Ring of Evasion] 	5	2024-02-06	TIME for Pets	1 Hour Single/Double Boxing
[Shoes of Fleeting Fury] 	12	2024-02-06	TIME for Pets	1 Hour Single/Double Boxing
[Veil of Lost Hopes] 	3	2023-12-26	XmasTime	1 Hour Single/Double Boxing
[Bow of the Tempest] 	10	2023-12-12	PoTime	1 Hour Single/Double Boxing
[Timespinner, Blade of the Hunter] 	6	2023-12-12	PoTime	1 Hour Single/Double Boxing
[Elemental Silk Glove Pattern] 	4	2023-12-11	Fiery PoF Loots	On-Time attendance
[Elemental Silk Bracelet Pattern] 	3	2023-12-07	FyreFestivle	On-Time attendance
[Gauntlets of Disruption] 	5	2023-12-05	YetMoreTimeLoot	1 Hour Single/Double Boxing
[Protective Sleeves] 	6	2023-12-05	YetMoreTimeLoot	1 Hour Single/Double Boxing
[Coif of Flowing Time] 	9	2023-12-05	YetMoreTimeLoot	1 Hour Single/Double Boxing
[Serpent of Vindication] 	42	2023-12-05	YetMoreTimeLoot	1 Hour Single/Double Boxing
[Twilight Shroud] 	6	2023-12-03	WhoDaFuQIsKaerilai-VTRun	1 Hour Single/Double Boxing
[Girdle of Stability] 	10	2023-11-22	Time for Giving	1 Hour Single/Double Boxing
[Shroud of Provocation] 	4	2023-11-21	Time for Thanks	1 Hour Single/Double Boxing
[Blood Veil of the Shissar] 	2	2023-11-10	House of Snakes	On-Time attendance
[Wristguard of Keen Vision] 	2	2023-11-08	TimeB Night again	1 Hour Single/Double Boxing
[Temporal Chainmail Sleeves] 	7	2023-11-07	TimeAfterTime	1 Hour Single/Double Boxing
[Collar of Catastrophe] 	6	2023-11-07	TimeAfterTime	1 Hour Single/Double Boxing
[Ring of Algae] 	2	2023-10-26	Water the Hedges	On-Time attendance
[Earring of Celestial Energy] 	16	2023-10-25	Project Kill Quarm Tonight	1 Hour Single/Double Boxing
[Elemental Silk Turban Pattern] 	4	2023-10-03	FireFeast	1 Hour Single/Double Boxing
[Burning Mask of Terror] 	3	2023-09-28	Spittin' HOT FIRE	On-Time attendance
[Cloak of Mourning] 	2	2023-09-11	Curse-EmpRaid	On-Time attendance
[Elemental Silk Sleeve Pattern] 	4	2023-09-05	2B or Not 2B	1 Hour Single/Double Boxing
[Timeless Silk Robe Pattern] 	10	2023-08-30	TimeB Night	1 Hour Single/Double Boxing
[Silver Hoop of Speed] 	81	2023-08-30	TimeB Night	1 Hour Single/Double Boxing
[Tactician's Shield] 	10	2023-07-18	Rewind of Time	1 Hour Single/Double Boxing
[Bone Earring of Evasion] 	4	2023-07-07	TV Fireworks	1 Hour Single/Double Boxing
[Orb of satisfaction] 	2	2023-07-07	TV Fireworks	1 Hour Single/Double Boxing
[Ring of Immobilization] 	3	2023-07-08	TV Fireworks	1 Hour Single/Double Boxing
[dagger of entrapment] 	2	2023-06-23	Cursed Snake Charmer	1 Hour Single/Double Boxing
[Shroud of Eternity] 	51	2023-06-07	Time Night 2	1 Hour Single/Double Boxing
[Cord of Potential] 	16	2023-06-06	PoTime Run	1 Hour Single/Double Boxing
[Elemental Greaves Mold] 	21	2023-05-23	P1 Time Raid	1 Hour Single/Double Boxing
[Symbol of Ancient Summoning] 	54	2023-05-23	P1 Time Raid	1 Hour Single/Double Boxing
[Ifir, Dagger of Fire] 	5	2023-05-15	Minis & Fenin	1 Hour Single/Double Boxing
[Elemental Gauntlet Mold] 	11	2023-05-11	Fennin+Minis	1 Hour Single/Double Boxing
[Bracelet of the Shadow Hive] 	16	2023-04-13	VT Clarence	On-Time attendance
[Hammer of the Timeweaver] 	43	2023-04-13	PoTime Quarmnights	1 Hour Single/Double Boxing
[Wistful Tunic of the Void] 	5	2023-04-10	Earth Minis + Curse/Emp	1 Hour Single/Double Boxing
[Flowing Gossamer Cloak] 	2	2023-04-06	RZTW + Agnarr	1 Hour Single/Double Boxing
[Padded Tigerskin Gloves] 	30	2023-03-01	Rock and Quarm	1 Hour Single/Double Boxing
[Drape of the Agile] 	2	2023-02-20	2/20/23 FIRE MINIS	1 Hour Single/Double Boxing
[Sandals of Empowerment] 	12	2023-02-17	PoTime Cleanup	1 Hour Single/Double Boxing
[Barrier of Freezing Winds] 	12	2023-02-01	2/1/23 P5/QUARM	1 Hour Single/Double Boxing
